大枣,甘遂,芫花,大戟,,,,,,,,,,,,,,,,,,,,,
白术,川芎,蜀椒,牡蛎,,,,,,,,,,,,,,,,,,,,,
枳实,芍药,,,,,,,,,,,,,,,,,,,,,,,
大黄,桃仁,蜇虫,,,,,,,,,,,,,,,,,,,,,,
竹叶,葛根,防风,桔梗,桂枝,人参,甘草,附子,大枣,生姜,,,,,,,,,,,,,,,
生竹茹,石膏,桂枝,甘草,白薇,,,,,,,,,,,,,,,,,,,,
白头翁,甘草,阿胶,秦皮,黄连,柏皮,,,,,,,,,,,,,,,,,,,
黄芩,苦参,干地黄,,,,,,,,,,,,,,,,,,,,,,
当归,桂枝,芍药,生姜,甘草,大枣,,,,,,,,,,,,,,,,,,,
半夏,厚朴,茯苓,生姜,干苏叶,,,,,,,,,,,,,,,,,,,,
甘草,小麦,大枣,,,,,,,,,,,,,,,,,,,,,,
吴茱萸,当归,川芎,芍药,人参,桂枝,阿胶,生姜,牡丹皮,甘草,半夏,麦门冬,,,,,,,,,,,,,
土瓜根,芍药,桂枝,蜇虫,,,,,,,,,,,,,,,,,,,,,
旋复花,葱,新绛,,,,,,,,,,,,,,,,,,,,,,
大黄,甘遂,阿胶,,,,,,,,,,,,,,,,,,,,,,
水蛭,虻虫,桃仁,大黄,,,,,,,,,,,,,,,,,,,,,
矾石,杏仁,,,,,,,,,,,,,,,,,,,,,,,
干地黄,薯蓣,山茱萸,泽泻,茯苓,牡丹皮,桂枝,附子,,,,,,,,,,,,,,,,,
雄黄,葶苈,,,,,,,,,,,,,,,,,,,,,,,
